#DAMPE
# Qty   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up 
allpart	115.47823760235374	100.0000318947151	133.35219106515527	0.07655727954985692	1.982091411155429e-05	1.982091411155429e-05	0.00	0.00	1.982091411155429e-05	1.982091411155429e-05
allpart	153.99271093062833	133.35219106515527	177.82801190103902	0.036254001462058996	9.557949298358117e-06	9.557949298358117e-06	0.00	0.00	9.557949298358117e-06	9.557949298358117e-06
allpart	205.35258861000068	177.82801190103902	237.13747456331873	0.017164847536254014	4.306304807752134e-06	4.306304807752134e-06	0.00	0.00	4.306304807752134e-06	4.306304807752134e-06
allpart	273.8420889792963	237.13747456331873	316.2279173067675	0.008134887681008307	1.8524357437071707e-06	1.8524357437071707e-06	0.00	0.00	1.8524357437071707e-06	1.8524357437071707e-06
allpart	365.1743092411782	316.2279173067675	421.6967219893138	0.0038592301652894344	8.498694030845123e-07	8.498694030845123e-07	0.00	0.00	8.498694030845123e-07	8.498694030845123e-07
allpart	486.9677872631686	421.6967219893138	562.3416390654228	0.0018232068847643529	4.3875811443588255e-07	4.3875811443588255e-07	0.00	0.00	4.3875811443588255e-07	4.3875811443588255e-07
allpart	649.3820069783985	562.3416390654228	749.8946577886838	0.0008543274983390928	2.3618072863699835e-07	2.3618072863699835e-07	0.00	0.00	2.3618072863699835e-07	2.3618072863699835e-07
allpart	865.9648584915494	749.8946577886838	1000.0006378944036	0.0004015397484413866	1.3106991722211466e-07	1.3106991722211466e-07	0.00	0.00	1.3106991722211466e-07	1.3106991722211466e-07
allpart	1154.7827443380863	1000.0006378944036	1333.5223359745669	0.00019062859198928087	7.471182382280354e-08	7.471182382280354e-08	0.00	0.00	7.471182382280354e-08	7.471182382280354e-08
allpart	1539.9276004616477	1333.5223359745669	1778.280686187768	9.064924220778232e-05	4.313417218207677e-08	4.313417218207677e-08	0.00	0.00	4.313417218207677e-08	4.313417218207677e-08
allpart	2053.5265410662378	1778.280686187768	2371.3755019764067	4.328593702334961e-05	2.521935668299883e-08	2.521935668299883e-08	0.00	0.00	2.521935668299883e-08	2.521935668299883e-08
allpart	2738.4217632045043	2371.3755019764067	3162.2801816676083	2.0717470279884386e-05	1.4863014906548055e-08	1.4863014906548055e-08	0.00	0.00	1.4863014906548055e-08	1.4863014906548055e-08
allpart	3651.744257124838	3162.2801816676083	4216.968564882819	9.912104708184234e-06	8.765888317920366e-09	8.765888317920366e-09	0.00	0.00	8.765888317920366e-09	8.765888317920366e-09
allpart	4869.67942580157	4216.968564882819	5623.4181842268645	4.73909117686782e-06	5.180632035132692e-09	5.180632035132692e-09	0.00	0.00	5.180632035132692e-09	5.180632035132692e-09
allpart	6493.822140969395	5623.4181842268645	7498.948969654485	2.2574558852739e-06	3.0486152424917874e-09	3.0486152424917874e-09	0.00	0.00	3.0486152424917874e-09	3.0486152424917874e-09
allpart	8659.65134688574	7498.948969654485	10000.009568417581	1.0767235584345678e-06	1.7940197634192554e-09	1.7940197634192554e-09	0.00	0.00	1.7940197634192554e-09	1.7940197634192554e-09
allpart	11547.831126527528	10000.009568417581	13335.227612977169	5.15927871720066e-07	1.0598756594909969e-09	1.0598756594909969e-09	0.00	0.00	1.0598756594909969e-09	1.0598756594909969e-09
allpart	15399.280916171687	13335.227612977169	17782.812533653265	2.467708175871114e-07	6.233478858797066e-10	6.233478858797066e-10	0.00	0.00	6.233478858797066e-10	6.233478858797066e-10
allpart	20535.271960326776	17782.812533653265	23713.76258319867	1.1718937089382983e-07	3.6445058770612994e-10	3.6445058770612994e-10	0.00	0.00	3.6445058770612994e-10	3.6445058770612994e-10
allpart	27384.22636616324	23713.76258319867	31622.81190267863	5.539032585437468e-08	2.1266283936783635e-10	2.1266283936783635e-10	0.00	0.00	2.1266283936783635e-10	2.1266283936783635e-10
allpart	36517.45421838265	31622.81190267863	42169.69909872929	2.5652765675568696e-08	1.221616552528571e-10	1.221616552528571e-10	0.00	0.00	1.221616552528571e-10	1.221616552528571e-10
allpart	48696.8097897195	42169.69909872929	56234.19977800074	1.1655792414719648e-08	6.908828142626436e-11	6.908828142626436e-11	0.00	0.00	6.908828142626436e-11	6.908828142626436e-11
allpart	64938.24212155467	56234.19977800074	74989.51361422896	5.3823113508974395e-09	3.988649609160094e-11	3.988649609160094e-11	0.00	0.00	3.988649609160094e-11	3.988649609160094e-11
allpart	86596.54108856867	74989.51361422896	100000.12757892144	2.5035879894020584e-09	2.3250877872961873e-11	2.3250877872961873e-11	0.00	0.00	2.3250877872961873e-11	2.3250877872961873e-11
allpart	115478.34809675366	100000.12757892144	133352.31866210024	1.1269955794573293e-09	1.326362467614323e-11	1.326362467614323e-11	0.00	0.00	1.326362467614323e-11	1.326362467614323e-11
allpart	153992.85827728463	133352.31866210024	177828.1820543066	5.024866729067451e-10	7.48383605769286e-12	7.48383605769286e-12	0.00	0.00	7.48383605769286e-12	7.48383605769286e-12
allpart	205352.78509993263	177828.1820543066	237137.70146635687	2.2558139179313465e-10	4.237931492949691e-12	4.237931492949691e-12	0.00	0.00	4.237931492949691e-12	4.237931492949691e-12
allpart	273842.35100284225	237137.70146635687	316228.219886844	1.0310888973968521e-10	2.411825791341384e-12	2.411825791341384e-12	0.00	0.00	2.411825791341384e-12	2.411825791341384e-12
allpart	365174.65865520644	316228.219886844	421697.12548634683	4.7730377557365965e-11	1.3714065874441023e-12	1.3714065874441023e-12	0.00	0.00	1.3714065874441023e-12	1.3714065874441023e-12
